Order_ID,Order_Date,Customer_ID,Customer_Name,City,Region,Product,Category,Quantity,Unit_Price,Total_Sales,Payment_Method,Order_Status
ORD1000,9/12/2025,CUST473,Bryan Ruiz,Leeburgh,North,Headphones,Electronics,4,16836,67344,Cash,Completed
ORD1001,5/22/2025,CUST189,Darren Hernandez,South Tiffany,East,Tablet,Electronics,5,53776,268880,Cash,Cancelled
ORD1002,2/16/2026,CUST142,Jennifer Ray,Lake Deborah,East,Mobile,Electronics,5,1250,6250,Net Banking,Completed
ORD1003,4/17/2026,CUST603,Angel Nichols,Youngton,West,Smartwatch,Electronics,3,6092,18276,Cash,Returned
ORD1004,8/20/2025,CUST832,Eric Peterson,Lake Danielberg,West,Tablet,Electronics,3,9128,27384,Cash,Cancelled
ORD1005,1/12/2026,CUST870,Seth Miller,Murphychester,North,Smartwatch,Electronics,4,34348,137392,Net Banking,Returned
ORD1006,1/10/2026,CUST223,Jason Ramirez,Blanchardstad,North,Laptop,Electronics,1,45419,45419,Debit Card,Completed
ORD1007,12/21/2025,CUST961,Angela Hall,Ricestad,East,Laptop,Electronics,3,49940,149820,Cash,Completed
ORD1008,10/31/2025,CUST149,Raymond Evans,South Loriside,West,Tablet,Electronics,4,60298,241192,Credit Card,Completed
ORD1009,7/27/2025,CUST486,Mark Taylor,Garymouth,North,Printer,Electronics,3,1990,5970,Net Banking,Returned
ORD1010,3/5/2026,CUST831,Ashley Jimenez,East Timothy,West,Printer,Electronics,1,15047,15047,UPI,Returned
ORD1011,1/22/2026,CUST311,Amy Arnold,South Jennifer,East,Camera,Electronics,3,58547,175641,Credit Card,Cancelled
ORD1012,8/3/2025,CUST845,Ashley Murray,Kathyview,North,Camera,Electronics,1,21938,21938,Debit Card,Completed
ORD1013,9/20/2025,CUST350,Erik Kelly,Jonesfurt,South,Mobile,Electronics,1,39840,39840,UPI,Cancelled
ORD1014,4/30/2026,CUST364,Roger Gutierrez,South Lindsay,West,Camera,Electronics,4,20746,82984,Debit Card,Returned
ORD1015,3/15/2026,CUST353,Ronald Chavez,Salasburgh,North,Smartwatch,Electronics,1,16325,16325,Debit Card,Cancelled
ORD1016,12/14/2025,CUST585,Paula Turner,New Karenhaven,South,Camera,Electronics,1,70934,70934,Credit Card,Returned
ORD1017,2/21/2026,CUST247,Timothy Davis,New Dylanfurt,West,Camera,Electronics,1,53118,53118,Cash,Returned
ORD1018,2/2/2026,CUST600,Virginia Phillips,North Holly,West,Printer,Electronics,1,38090,38090,Cash,Completed
ORD1019,4/13/2026,CUST926,Paul Smith,Port Brandonport,South,Smartwatch,Electronics,4,13692,54768,Cash,Returned
ORD1020,8/29/2025,CUST609,Adam Moore,Smithville,South,Camera,Electronics,3,30486,91458,UPI,Completed
ORD1021,10/30/2025,CUST239,Larry Myers,Port Jimmy,North,Laptop,Electronics,1,72570,72570,Net Banking,Returned
ORD1022,8/2/2025,CUST462,Lisa Hawkins,East Sarah,North,Smartwatch,Electronics,4,20027,80108,Debit Card,Completed
ORD1023,2/8/2026,CUST551,Michael Ellison,Shaunbury,North,Printer,Electronics,4,26242,104968,Credit Card,Cancelled
ORD1024,7/9/2025,CUST519,Craig Cummings,Estradaview,South,Tablet,Electronics,2,34513,69026,Cash,Completed
ORD1025,8/25/2025,CUST500,Michael Velasquez,North Victoriafurt,West,Laptop,Electronics,5,11331,56655,Net Banking,Completed
ORD1026,4/15/2026,CUST435,Teresa Robinson,Martinezstad,West,Tablet,Electronics,2,3023,6046,Credit Card,Cancelled
ORD1027,7/20/2025,CUST834,April Morgan,Huntfort,South,Printer,Electronics,2,52616,105232,Net Banking,Returned
ORD1028,1/24/2026,CUST281,Nicholas Coleman,Wilsonfort,North,Headphones,Electronics,2,79266,158532,Debit Card,Completed
ORD1029,4/18/2026,CUST318,Gabriel Serrano,Johnhaven,North,Tablet,Electronics,2,76433,152866,Cash,Completed
ORD1030,10/7/2025,CUST738,William Collins,South Cynthia,North,Laptop,Electronics,3,31981,95943,Net Banking,Returned
ORD1031,2/24/2026,CUST538,Julian Jenkins,Johnsonstad,North,Mobile,Electronics,4,46311,185244,Debit Card,Completed
ORD1032,5/13/2025,CUST541,Ralph Moore,Lake Christopher,North,Headphones,Electronics,4,29544,118176,UPI,Cancelled
ORD1033,1/11/2026,CUST975,Stacey Ball,Joelville,South,Headphones,Electronics,1,15358,15358,Net Banking,Completed
ORD1034,6/13/2025,CUST507,Julia Evans,Sancheztown,South,Smartwatch,Electronics,1,20083,20083,UPI,Returned
ORD1035,11/18/2025,CUST677,Dustin Wright,South Bretttown,West,Mobile,Electronics,1,70555,70555,Cash,Cancelled
ORD1036,2/4/2026,CUST218,Tiffany Farmer,Pierceville,South,Printer,Electronics,4,73476,293904,Debit Card,Returned
ORD1037,5/17/2025,CUST744,Cody Parker MD,Robinsonborough,North,Camera,Electronics,5,37199,185995,Debit Card,Cancelled
ORD1038,2/21/2026,CUST731,Andres Morris,North Samuelchester,North,Laptop,Electronics,2,37587,75174,Cash,Completed
